comment,№,time left,time top,time right,birthday,data at previous weighing,weight at weighing,weight at previous weighing,growth,withers height,height in the sacrum,chest width,chest girth,sex
,3,10.20.55.851,10.20.55.843,10.20.55.881,02.06.2020,25.03.2021,625,633,8,123,122,53,214,bull
,4,10.23.55.323,10.23.55.331,10.23.55.339,08.05.2020,30.03.2021,627,632,5,119,124,52,224,bull
,5,10.25.59.962,10.25.59.982,10.25.59.950,14.05.2020,23.03.2021,606,604,-2,120,122,50,217,bull
fall,6,10.31.00.472,10.31.00.469,10.31.00.460,27.03.2020,23.03.2021,638,643,5,123,125,52,215,bull
,7,10.33.07.512,10.33.07.545,10.33.07.520,18.04.2020,23.03.2021,612,617,5,145,144,51,216,bull
,8,10.35.35.121,10.35.35.135,10.35.35.103,30.04.2020,23.03.2021,605,619,14,143,143,56,215,bull
,9,10.38.16.429,10.38.16.421,10.38.16.435,06.04.2020,23.03.2021,605,592,-13,137,147,52,219,bull
,12,10.44.59.647,10.44.59.642,10.44.59.688,11.04.2020,30.03.2021,731,746,15,146,155,55,229,bull
,13,10.46.27.079,10.46.27.031,10.46.27.080,16.04.2020,25.03.2021,618,612,-6,146,145,51,218,bull
,14,10.48.35.776,10.48.35.753,10.48.35.758,20.04.2020,25.03.2021,576,590,14,147,148,53,208,bull
,15,10.51.47.644,10.51.47.678,10.51.47.680,03.04.2020,23.03.2021,671,676,5,143,151,53,229,bull
,16,10.53.43.065,10.53.43.065,10.53.43.019,02.04.2020,25.03.2021,604,610,6,133,139,54,216,bull
,17,10.55.59.134,10.55.59.131,10.55.59.125,08.05.2020,23.03.2021,640,626,-14,144,147,54,217,bull
,18,10.57.36.017,10.57.36.042,10.57.36.022,06.05.2020,30.03.2021,627,625,-2,146,152,53,224,bull
,19,10.59.12.366,10.59.12.317,10.59.12.333,27.04.2020,23.03.2021,591,600,9,143,147,52,206,bull
,20,11.00.40.284,11.00.40.263,11.00.40.276,13.04.2020,23.03.2021,627,619,-8,145,152,50,210,bull
